departement,annee,sau,part_sau,exploitations,sau_m_ha
95,1970,68725,54.82,1785,38.5
95,1979,65630,52.35,1484,44.23
95,1988,62042,49.49,1208,51.36
95,2000,59609,47.55,725,82.22
95,2010,57800,46.11,586,98.63
95,2020,55478.81,44.25,518,107.1
971,1981,57385,35.24,18957,3.03
971,1988,46648,28.65,16154,2.89
971,2000,41662,25.58,12099,3.44
971,2010,31401,19.28,7804,4.02
971,2020,31835.85,19.55,7254,4.39
972,1981,41353,36.6,19573,2.11
972,1988,36974,32.72,15284,2.42
972,2000,32041,28.35,8039,3.99
972,2010,24982,22.11,3307,7.55
972,2020,21893.78,19.38,2679,8.17
973,1981,7348,0.09,2210,3.32
973,1988,20639,0.25,4474,4.61
973,2000,23176,0.28,5318,4.36
973,2010,25345,0.3,5983,4.24
973,2020,36244.8,0.43,6130,5.91
974,1981,53788,21.48,19829,2.71
974,1988,50235,20.06,14489,3.47
974,2000,43692,17.45,9272,4.71
974,2010,42814,17.1,7623,5.62
974,2020,38773.9,15.49,6282,6.17
976,2020,5959.45,15.93,4312,1.38
977,2020,1.31,NA,6,0.22
978,2020,227.49,NA,36,6.32
