code,nb_exp,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
79,30354,6370,901,6131,8449,7262,598,9552,676,10151,861,12081,3584,12461,4208,13206,2158,16343,1104,18816,1792,22541,4964,28327,8523,35325,0419,40747,8167,43912,4768,44251,99128
80,9201,1371,778,1306,763,2433,612,1674,485,2293,254,2500,888,2567,854,2755,625,3145,595,4015,521,4669,523,5345,3717,6460,2734,7894,2452,8571,2005,8439,53076
81,33487,5092,763,5545,761,6000,4178,7361,2363,9031,7302,9924,718,11521,2211,12341,1928,16422,9131,20390,1536,22730,7982,25508,7022,28073,7494,31275,6047,34075,052,34600,51579
82,31548,4597,409,4761,405,5189,4924,5855,345,6780,4595,6970,862,7131,568,8556,165,12680,0396,15014,671,16604,5701,19078,2577,20953,1761,22520,1501,27699,7116,27900,73287
83,24052,4842,6165,6912,5298,7939,4465,8152,2516,10818,5555,12057,874,12006,27,13327,7244,14504,0505,14678,0106,16975,1912,18737,7284,21338,4297,24678,648,27991,05,28154,57802
84,47702,4545,6358,8236,3044,11340,5158,13712,2916,17122,0836,17802,2798,18257,0508,18279,8994,18393,8742,19762,5432,21480,6163,23598,36,26209,8941,29420,2641,33485,142,35456,88949
85,34441,9828,767,11166,938,10268,956,16259,4596,16545,2187,18641,9628,19573,7165,20967,8726,24302,2702,30235,0923,35078,0961,41381,4157,47661,9547,51527,5697,54636,4344,56273,67807
86,24397,5416,063,7119,9871,5330,758,8942,6261,10625,9483,12251,4618,13230,9794,14340,2632,19952,8939,24154,3587,26989,6787,33658,6732,37917,0234,41378,9791,48497,3028,44837,04256
87,19259,6766,601,6255,62,7215,33,8820,786,11297,7346,12210,9696,13641,1868,14730,9422,17768,6015,20495,3976,21418,9197,24089,5943,26266,6602,27639,9766,31292,662,30944,85238
88,14076,7878,607,8455,752,9286,514,10777,764,11857,705,12673,912,12959,527,14221,827,16075,251,19442,1931,21421,4699,22147,898,24040,3862,26311,079,28275,862,28746,59271
89,28476,7361,8552,8060,2929,10885,139,12745,8119,14169,1785,16182,867,16974,1521,17614,4006,21886,7085,23499,9355,26746,4777,38829,4486,46736,9275,53542,4534,56905,3506,59348,39602
90,864,259,494,258,701,261,861,358,471,368,981,357,641,349,151,555,66,586,44,1105,53,1160,78,1153,405,1317,51,1485,147,1419,549,1498,646641
91,5340,912,989,925,185,1132,281,1380,541,1971,834,2126,571,2311,358,2375,993,2616,693,3518,3463,3870,8067,6706,2037,8740,4167,9761,5437,11347,5877,11430,88916
92,169,,,0,05,,111,688,78,237,0,05,0,1,11,28,11,38,65,44,76,1688,121,4056,92,235,48,465,148,583475
93,193,3,3,,5,01,1,3,01,54,49,54,49,54,495,6,13,57,29,58,51,70,36,89,043,89,084,91,425127
94,289,,,,60,26,71,554,52,43,49,33,60,6713,64,8513,46,0313,92,61,96,7,98,87,54,75,69,7,61,08
95,1378,593,356,550,313,581,26,594,071,614,604,623,534,604,154,610,76,630,66,758,036,693,22,776,307,849,13,925,09,976,4,1016,596
,2531,,,,,,,,,,,,,,,,
